Unnamed: 0,titel,slutpris,postnummer,ort,medelinkomst_månad,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Biarea,Uteplats,Tomtarea,Våning,Byggår,Driftkostnad,Avgift,Finns_hiss,latitude,longitude
,Pilgatan 5,3750000,11223,Stockholms kommun,48167,Lägenhet,Bostadsrätt,1.0,33.0,,0,,1,1932.0,3000,1702,1,59.3279474,18.0382888
,Kronobergsgatan 20,2675000,11233,Stockholms kommun,42968,Lägenhet,Bostadsrätt,1.0,19.0,,0,,3,1911.0,5100,1553,1,59.33551109999999,18.0354232
,"Sysslomansgatan 26, 8 tr",3170000,11241,Stockholms kommun,45598,Lägenhet,Bostadsrätt,2.0,36.0,,0,,8,1939.0,9360,2579,1,59.33076810000001,18.0240446
,"Fleminggatan 111, 1 tr (vån 2)",3960000,11245,Stockholms kommun,40511,Lägenhet,Bostadsrätt,2.0,37.0,,0,,2,1909.0,3000,2088,1,59.3350348,18.0272725
,"Igeldammsgatan 12, 5tr",3750000,11249,Stockholms kommun,45100,Lägenhet,Bostadsrätt,1.5,41.0,,0,,5,,8904,2699,1,59.33628059999999,18.0255678
,"Ernst Ahlgrens Väg 4, 3 tr",3625000,11255,Stockholms kommun,35302,Lägenhet,Bostadsrätt,2.0,40.5,,0,,3,1933.0,3000,2328,1,59.3308705,18.0043915
,Sigtunagatan 18,3475000,11322,Stockholms kommun,52857,Lägenhet,Bostadsrätt,1.0,33.0,,0,,0,1897.0,8040,1636,1,59.3423236,18.0410314
,Bråvallagatan 6,3025000,11336,Stockholms kommun,55702,Lägenhet,Bostadsrätt,1.0,25.0,,0,,1,,2400,1369,1,59.33854340000001,18.0348834
,"Torsgatan 70, gårdsläge",3425000,11337,Stockholms kommun,50886,Lägenhet,Bostadsrätt,1.0,31.0,,0,,0,1925.0,5880,1946,1,59.34460540000001,18.035218
,"Tomtebogatan 39A, 1tr",2995000,11338,Stockholms kommun,49731,Lägenhet,Bostadsrätt,1.0,28.0,,0,,1,1911.0,4800,1610,1,59.3415645,18.0286632
,Norrtullsgatan 30,2835000,11345,Stockholms kommun,45926,Lägenhet,Bostadsrätt,1.0,33.0,,0,,1,1939.0,3000,2148,1,59.3488067,18.0457507
,"Rådmansgatan 46, 6tr",3900000,11357,Stockholms kommun,45362,Lägenhet,Bostadsrätt,1.0,33.0,,0,,6,1959.0,3600,3432,1,59.3411408,18.0610417
,"Rådmansgatan  46, 4tr",2750000,11357,Stockholms kommun,45362,Lägenhet,Bostadsrätt,1.5,27.0,,0,,4,1957.0,4800,2406,1,59.3411408,18.0610417
,Sandhamnsgatan 57 C,3250000,11528,Stockholms kommun,70093,Lägenhet,Bostadsrätt,1.0,33.0,,0,,2,1966.0,8712,1788,1,59.3415802,18.1118873
,Rindögatan 11,3700000,11536,Stockholms kommun,37720,Lägenhet,Bostadsrätt,2.0,38.5,,0,,6,1942.0,3000,2717,1,59.347447,18.095005
,"Smedsbacksgatan 7, 2tr",3495000,11539,Stockholms kommun,38145,Lägenhet,Bostadsrätt,2.0,38.0,,0,,2,1939.0,3000,2413,1,59.34801419999999,18.0987605
,Artemisgatan 73,3175000,11542,Stockholms kommun,33460,Lägenhet,Bostadsrätt,2.0,35.0,,0,,1,1939.0,6800,2036,1,59.35667839999999,18.0958586
,"Artemisgatan 71, 2 tr!",3500000,11542,Stockholms kommun,33460,Lägenhet,Bostadsrätt,2.0,37.0,,0,,2,1939.0,10750,2152,1,59.3568191,18.0961601
,"Motalavägen 5, 2tr",3060000,11543,Stockholms kommun,35047,Lägenhet,Bostadsrätt,2.0,40.0,,0,,2,1935.0,4800,3189,1,59.3529649,18.0958502
,"Öregrundsgatan 6, 1tr",3350000,11559,Stockholms kommun,34144,Lägenhet,Bostadsrätt,2.0,47.0,,0,,1,1943.0,3000,2746,1,59.34626729999999,18.1089806
,Bjurholmsplan 23,2700000,11663,Stockholms kommun,34853,Lägenhet,Bostadsrätt,1.0,23.0,,0,,3,1930.0,5688,1877,1,59.3098152,18.0810402
,"Rutger Fuchsgatan 8B, 3tr",3400000,11667,Stockholms kommun,36343,Lägenhet,Bostadsrätt,1.5,33.0,,0,,3,1926.0,6300,1788,0,59.30700299999999,18.0781006
,"Lorensbergsgatan 5B, 2 tr",3800000,11733,Stockholms kommun,41416,Lägenhet,Bostadsrätt,2.0,39.0,,0,,2,1929.0,6588,1922,1,59.3192653,18.0334597
,"Folkskolegatan 6, 3 tr",2550000,11735,Stockholms kommun,33289,Lägenhet,Bostadsrätt,1.0,22.0,,0,,3,1929.0,5156,2208,1,59.31786,18.0294596
,"Bergsunds strand 31, 5 tr",3510000,11738,Stockholms kommun,46971,Lägenhet,Bostadsrätt,1.0,35.9,,0,,5,1931.0,3864,1361,1,59.315572,18.0296432
,"Hildebergsvägen 12, 2tr",3625000,11762,Stockholms kommun,42855,Lägenhet,Bostadsrätt,2.0,58.0,,0,,2,,3000,4146,0,59.3032254,18.0278466
,"Hildebergsvägen 6, 3tr",3995000,11762,Stockholms kommun,42855,Lägenhet,Bostadsrätt,3.0,58.0,,0,,3,,7200,4129,0,59.3031638,18.0284189
,"Nybohovsbacken 63, 3tr",3820000,11764,Stockholms kommun,27086,Lägenhet,Bostadsrätt,3.0,76.0,,0,,3,1960.0,3000,4443,1,59.30880029999999,18.0153148
,Björngårdsgatan 11,2695000,11826,Stockholms kommun,49944,Lägenhet,Bostadsrätt,1.0,26.0,,0,,3,1929.0,5880,1816,1,59.3164657,18.0657579
,"Åsögatan 98, 2tr.",3120000,11829,Stockholms kommun,32957,Lägenhet,Bostadsrätt,1.0,30.0,,0,,2,1936.0,4680,2030,1,59.31240219999999,18.0710107
,Rosenlundsgatan 20,4000000,11853,Stockholms kommun,42720,Lägenhet,Bostadsrätt,1.5,46.0,,0,,2,1929.0,9360,2263,1,59.3167517,18.0553834
,"Tjurbergsgatan 34, 3 tr",3700000,11856,Stockholms kommun,35729,Lägenhet,Bostadsrätt,2.0,40.0,,0,,3,1927.0,7335,2391,1,59.3105914,18.0721816
,Eriksdalsgatan 26,3850000,11859,Stockholms kommun,34151,Lägenhet,Bostadsrätt,2.0,43.5,,0,,2,1930.0,3000,2686,1,59.30649039999999,18.0660118
,Borensvägen 54,2650000,12052,Stockholms kommun,32452,Lägenhet,Bostadsrätt,2.0,42.0,,0,,2,1945.0,2400,2449,0,59.2966986,18.0547559
,Borensvägen 44,3900000,12052,Stockholms kommun,32452,Lägenhet,Bostadsrätt,3.0,65.0,,0,,1,,7200,4466,0,59.2964646,18.0554371
,Skälderviksplan 9,3350000,12060,Stockholms kommun,34529,Lägenhet,Bostadsrätt,3.0,58.0,,0,,2,1952.0,4800,4263,1,59.2992529,18.0329666
,Skälderviksplan 8,3055000,12060,Stockholms kommun,34529,Lägenhet,Bostadsrätt,2.0,55.0,,0,,3,1951.0,3000,4482,1,59.29884910000001,18.0344903
,Svärdlångsvägen 15,3275000,12060,Stockholms kommun,34529,Lägenhet,Bostadsrätt,2.0,61.0,,1,,2,1954.0,6000,5584,1,59.30217829999999,18.0383799
,Kyrkogårdsvägen 65,3310000,12133,Stockholms kommun,40463,Lägenhet,Bostadsrätt,2.0,42.0,,0,,2,1921.0,5400,2749,1,59.28247090000001,18.0987558
,"Nathorstvägen 3, 2 tr",2550000,12137,Stockholms kommun,33136,Lägenhet,Bostadsrätt,2.0,40.0,,0,,2,1938.0,3000,3095,1,59.29772879999999,18.088136
,Hammarbybacken 45,3200000,12145,Stockholms kommun,33956,Lägenhet,Bostadsrätt,3.0,55.2,,0,,2,1942.0,3000,3270,1,59.29868829999999,18.0870574
,Rubanksgränd 4,2500000,12246,Stockholms kommun,27030,Lägenhet,Bostadsrätt,2.0,49.0,,0,,2,2007.0,3000,4072,1,59.2663836,18.075439
,Tussmötevägen 120C,2600000,12264,Stockholms kommun,44166,Lägenhet,Bostadsrätt,1.0,34.0,,0,,4,2020.0,3480,2689,1,59.2787705,18.0681444
,Götaforsvägen 3,2700000,12266,Stockholms kommun,36266,Lägenhet,Bostadsrätt,2.0,55.0,,0,,3,1952.0,2930,4218,1,59.2716082,18.056397
,"Ekebergabacken 2B, vån 6/6",2500000,12363,Stockholms kommun,29634,Lägenhet,Bostadsrätt,3.0,63.5,,0,,6,2006.0,5000,5561,1,59.2475823,18.1033921
,Lillhagsvägen 32,2530000,12471,Stockholms kommun,23230,Lägenhet,Bostadsrätt,4.0,90.0,,0,,2,1992.0,9000,7107,0,59.2683881,18.0138168
,"Stamgatan 19, vån 2",2850000,12574,Stockholms kommun,29177,Lägenhet,Bostadsrätt,5.0,95.0,,0,,2,,3000,7126,0,59.28251410000001,18.040534
,Vattenledningsvägen 61,3800000,12634,Stockholms kommun,29668,Lägenhet,Bostadsrätt,2.5,47.0,,0,,1,1913.0,3000,3319,1,59.3017517,18.0075873
,"Midsommarvägen 27, vån 1",3010000,12635,Stockholms kommun,35743,Lägenhet,Bostadsrätt,2.0,44.0,,0,,1,1944.0,6000,3211,0,59.2996496,18.0075947
,Sigfridsvägen 11,3120000,12650,Stockholms kommun,33766,Lägenhet,Bostadsrätt,1.0,38.0,,0,,3,1948.0,6700,2405,1,59.3074176,18.0031848
,Vapengatan 18,3490000,12652,Stockholms kommun,35075,Lägenhet,Bostadsrätt,2.0,42.5,,0,,1,1946.0,4360,2959,1,59.30642059999999,17.9956032
,Kolbäcksgränd 26,3050000,12846,Stockholms kommun,27017,Lägenhet,Bostadsrätt,2.0,58.0,,0,,2,1954.0,6480,4110,1,59.27675739999999,18.1400134
,"Skridskovägen 14, vån 3/3",2850000,12949,Stockholms kommun,34076,Lägenhet,Bostadsrätt,2.0,54.0,,0,,3,1950.0,4000,3044,1,59.2931118,17.9757386
,Jenny Linds gata 18,2800000,12952,Stockholms kommun,30476,Lägenhet,Bostadsrätt,3.0,76.0,,0,,2,1957.0,720,4172,1,59.28821910000001,17.9678169
,Finnbergsvägen 3,3150000,13131,Nacka kommun,45842,Lägenhet,Bostadsrätt,2.0,54.0,,0,,4,1948.0,8400,2994,1,59.31381889999999,18.12806
,Kvarngränd 10,3650000,13131,Nacka kommun,45842,Lägenhet,Bostadsrätt,2.0,63.0,,0,,3,2013.0,9530,3934,1,59.317047,18.1387679
,Finntorpsvägen 13,3050000,13136,Nacka kommun,33851,Lägenhet,Bostadsrätt,2.0,53.0,,0,,5,,2424,2959,1,59.30768089999999,18.1325051
,Fredrik Jahns Gränd 8,3030000,13136,Nacka kommun,33851,Lägenhet,Bostadsrätt,2.0,58.0,,0,,3,1952.0,6000,3450,1,59.3078083,18.1370537
,Järla Gårdsväg 33,3700000,13161,Nacka kommun,47352,Lägenhet,Bostadsrätt,2.0,57.5,,0,,2,,4200,4226,1,59.3052565,18.1541591
,"Sturevägen 1B, 3/3tr",2950000,13338,Nacka kommun,46236,Lägenhet,Bostadsrätt,3.0,76.0,,0,,3,,3600,5211,1,59.2895528,18.2837471
,Väderkvarnsvägen 3,3700000,13441,Värmdö kommun,31585,Lägenhet,Bostadsrätt,2.0,66.0,,0,,2,2009.0,5160,4155,1,59.3227138,18.3879116
,Lupinstigen 42B,3050000,13673,Haninge kommun,38532,Lägenhet,Bostadsrätt,3.0,60.5,,1,,2,2010.0,8000,3583,1,59.20485629999999,18.1963798
,Solfagravägen 9,2710000,14148,Huddinge kommun,27722,Lägenhet,Bostadsrätt,4.0,78.0,,0,,2,1960.0,8712,4788,1,59.23964720000001,17.996287
,Gamlegårdsvägen 12,3350000,14148,Huddinge kommun,27722,Lägenhet,Bostadsrätt,3.0,73.0,,0,,2,2016.0,8256,4768,1,59.2401393,18.0013003
,Duettvägen 171,2620000,14240,Huddinge kommun,26592,Lägenhet,Bostadsrätt,3.0,78.0,,1,,1,1980.0,6576,4939,1,59.2200743,18.1570222
,Tornslingan 12,2600000,14261,Huddinge kommun,27874,Lägenhet,Bostadsrätt,3.0,77.0,,0,,3,,3000,4618,0,59.231767,18.1322927
,Strandliden 41,3725000,16561,Stockholms kommun,29819,Lägenhet,Bostadsrätt,3.0,79.0,,0,,3,1956.0,8673,4262,1,59.35841439999999,17.8307713
,"Melongatan 10, Vån 3",2900000,16563,Stockholms kommun,23810,Lägenhet,Bostadsrätt,4.0,80.0,,0,,3,2013.0,6230,4815,1,59.3648166,17.8356575
,Svartviksslingan 69,3150000,16738,Stockholms kommun,39720,Lägenhet,Bostadsrätt,2.5,63.0,,0,,3,1986.0,3000,3810,1,59.33965860000001,17.9923127
,Svartviksslingan 102,3595000,16739,Stockholms kommun,44101,Lägenhet,Bostadsrätt,3.0,59.5,,0,,6,1986.0,6000,3929,1,59.3391743,17.9893266
,Broderivägen 17a,3050000,16838,Stockholms kommun,30308,Lägenhet,Bostadsrätt,2.0,54.0,,1,,1,1945.0,5940,2133,1,59.3393637,17.9290167
,Elias Lönnrots Väg 9,3200000,16846,Stockholms kommun,24683,Lägenhet,Bostadsrätt,3.0,71.0,,0,,3,1952.0,3000,5148,1,59.3491864,17.8790033
,Dukvägen 33,3950000,16873,Stockholms kommun,32729,Lägenhet,Bostadsrätt,3.0,68.0,,0,,3,1942.0,7020,4151,1,59.3387171,17.9488172
,Stramaljvägen 6,2900000,16873,Stockholms kommun,32729,Lägenhet,Bostadsrätt,2.0,51.0,,0,,1,1942.0,5940,3117,1,59.33914720000001,17.9517108
,Stramaljvägen 20,3050000,16873,Stockholms kommun,32729,Lägenhet,Bostadsrätt,2.0,51.0,,0,,2,1942.0,9960,3117,1,59.33945560000001,17.9499938
,Dukvägen 27,3125000,16873,Stockholms kommun,32729,Lägenhet,Bostadsrätt,2.0,51.0,,0,,3,1938.0,3000,3117,1,59.338575,17.9495585
,"Mattvägen 3, 2 tr",2550000,16874,Stockholms kommun,32333,Lägenhet,Bostadsrätt,1.5,39.0,,0,,2,2009.0,3000,3063,1,59.3416931,17.9449692
,"Klädesvägen 34, vån 4/4",2895000,16876,Stockholms kommun,29369,Lägenhet,Bostadsrätt,2.0,45.0,,0,,4,2017.0,5256,3443,1,59.33829109999999,17.9436135
,"Uppfartsvägen 4A, vån 4 av 4",2975000,16938,Solna kommun,35018,Lägenhet,Bostadsrätt,1.5,44.0,,0,,4,1938.0,6500,2629,1,59.36625770000001,17.9881777
,"Bollgatan 2A, 6 tr",2550000,16951,Solna kommun,37768,Lägenhet,Bostadsrätt,1.0,34.0,,0,,6,2017.0,4320,3058,1,59.36332540000001,17.9976943
,"Slottsvägen 5, 2 tr",3450000,16969,Solna kommun,36519,Lägenhet,Bostadsrätt,3.0,62.0,,0,,2,1949.0,11400,3643,1,59.362533,18.0185189
,Gustav III:s Boulevard 9 Vån 5/6,2750000,16972,Solna kommun,41024,Lägenhet,Bostadsrätt,2.0,56.0,,0,,5,1998.0,6000,3377,1,59.36805709999999,18.0151554
,Mäster Simons Väg 9B,2500000,17066,Solna kommun,36634,Lägenhet,Bostadsrätt,2.0,53.5,,0,,1,1947.0,3000,3886,1,59.3767421,18.0112452
,Björnstigen 117,3800000,17072,Solna kommun,32131,Lägenhet,Bostadsrätt,3.0,68.5,,0,,1,1959.0,9240,2544,1,59.3829611,18.0352467
,Mårdstigen 12,3950000,17075,Solna kommun,34813,Lägenhet,Bostadsrätt,3.0,75.0,,0,,2,1953.0,7040,3988,1,59.3806083,18.029144
,Nybodagatan 14,3000000,17142,Solna kommun,35477,Lägenhet,Bostadsrätt,2.0,54.0,,0,,4,1957.0,3871,2477,1,59.3571968,17.9924181
,"Krysshammarvägen 20, 7tr",3000000,17157,Solna kommun,31693,Lägenhet,Bostadsrätt,2.0,54.6,,0,,7,1965.0,5880,2595,1,59.3495775,17.9941839
,Lidgatan 18,3000000,17158,Solna kommun,36491,Lägenhet,Bostadsrätt,2.0,61.0,,0,,3,1949.0,9780,1846,1,59.35261980000001,17.994538
,"Framnäsbacken 7, 2 tr",2805000,17166,Solna kommun,33292,Lägenhet,Bostadsrätt,2.0,44.0,,0,,2,1960.0,10032,1762,1,59.3564641,17.9863285
,Tritonvägen 4,3875000,17263,Sundbybergs kommun,31179,Lägenhet,Bostadsrätt,2.0,70.0,,0,,1,1942.0,3000,3970,1,59.35675370000001,17.9744181
,Vintergatan 2E,3850000,17269,Sundbybergs kommun,38503,Lägenhet,Bostadsrätt,2.0,55.0,,0,,2,2019.0,6688,4163,1,59.3616298,17.9791743
,Tallbostigen 9,3800000,17275,Sundbybergs kommun,39302,Lägenhet,Bostadsrätt,3.0,71.0,11 m²,1,,3,1932.0,9600,4620,0,59.36710069999999,17.9580791
,Kavallerivägen 4D,3900000,17458,Sundbybergs kommun,26498,Lägenhet,Bostadsrätt,4.0,86.0,,0,,4,2018.0,2196,4938,1,59.3732066,17.9389365
,Mjölnerbacken 65,2795000,17460,Sundbybergs kommun,24612,Lägenhet,Bostadsrätt,3.0,79.0,,0,,5,,3000,3639,1,59.3791875,17.9380507
,Aron Lindgrens Väg 10,2995000,17668,Järfälla kommun,47779,Lägenhet,Bostadsrätt,2.0,66.5,,0,,5,2004.0,2880,4350,1,59.4525404,17.7948445
,Fabriksvägen 8,3030000,17671,Järfälla kommun,29835,Lägenhet,Äganderätt,2.0,55.0,,0,,5,2022.0,22140,1495,1,59.4544827,17.8022749
,Kallhällsleden 8 C,2595000,17671,Järfälla kommun,29835,Lägenhet,Bostadsrätt,3.0,78.5,,0,,3,2021.0,1728,5670,1,59.45285519999999,17.8082092
,Turbingränd 13,3050000,17675,Järfälla kommun,32116,Lägenhet,Bostadsrätt,4.0,106.0,,0,,2,1980.0,3000,6622,1,59.46190679999999,17.8020972
,Högsätravägen 21,3795000,18158,Lidingö kommun,22269,Lägenhet,Bostadsrätt,5.0,91.3,,0,,3,1973.0,8400,5461,1,59.35219949999999,18.1498263
,Mörbyleden 18,3525000,18232,Danderyds kommun,39142,Lägenhet,Bostadsrätt,3.0,62.3,,0,,7,1963.0,3000,4110,1,59.39562939999999,18.049328
,Näsbydalsvägen 2,3725000,18331,Täby kommun,32458,Lägenhet,Bostadsrätt,4.0,97.5,,0,,6,1961.0,5520,4936,1,59.4366362,18.0659526
,Meteorvägen 52,2875000,18333,Täby kommun,29667,Lägenhet,Bostadsrätt,3.0,81.0,,0,,1,1961.0,5700,4401,1,59.4387553,18.0698961
,Kronängsvägen 29,3150000,18531,Vaxholms kommun,44547,Lägenhet,Bostadsrätt,3.0,74.8,5 m²,0,,2,1986.0,21696,4241,1,59.4022688,18.3338163
,"Åkerbyvägen 180, 1 tr",2600000,18737,Täby kommun,31217,Lägenhet,Bostadsrätt,2.0,64.0,,0,,1,1964.0,13039,3228,1,59.4494804,18.0717872
,Gribbylundsvägen 76F,3020000,18764,Täby kommun,38911,Lägenhet,Bostadsrätt,3.0,80.0,,1,,1,1986.0,4500,6249,1,59.46342929999999,18.0892063
,Sidensvansvägen 40,3100000,19255,Sollentuna kommun,58650,Lägenhet,Bostadsrätt,4.0,102.5,,1,,3,1989.0,4800,6310,1,59.43110939999999,17.9915834
,Sidensvansvägen 26,3100000,19255,Sollentuna kommun,58650,Lägenhet,Bostadsrätt,3.0,86.0,,1,,1,1989.0,6000,5242,1,59.43018289999999,17.9932584
,Nils Åhlins väg 4,2800000,19476,Upplands Väsby kommun,28744,Lägenhet,Bostadsrätt,3.0,88.0,,0,,4,,3000,6097,1,59.5201162,17.9080396
,"Nybrogatan 20, 1tr",4300000,10240,Stockholms kommun,0,Lägenhet,Bostadsrätt,1.0,28.0,,1,,1,1938.0,2040,0,1,59.3351663,18.0778702
,Klara västra kyrkogata 17,7300000,11121,Stockholms kommun,194673,Lägenhet,Bostadsrätt,1.0,36.0,,0,,1,2016.0,3000,3061,1,59.3311362,18.0599577
,Klara norra kyrkogata 15,5750000,11122,Stockholms kommun,44451,Lägenhet,Bostadsrätt,2.0,61.0,,0,,2,1935.0,6708,2061,1,59.3331891,18.0588793
,"Klara Norra Kyrkogata 15, 5 tr",5725000,11122,Stockholms kommun,44451,Lägenhet,Bostadsrätt,2.0,53.0,,0,,5,1935.0,9948,1857,1,59.3331891,18.0588793
,Klara Norra Kyrkogata 17,4950000,11122,Stockholms kommun,44451,Lägenhet,Bostadsrätt,2.0,48.5,,0,,2,1745.0,5200,4027,1,59.3332953,18.0586958
,Dalagatan 8,4650000,11123,Stockholms kommun,42842,Lägenhet,Bostadsrätt,1.5,42.0,,0,,1,1929.0,8600,2191,1,59.3367441,18.0508641
,"Torsgatan 5, 2tr",7000000,11123,Stockholms kommun,42842,Lägenhet,Bostadsrätt,3.0,76.0,,0,,1,2009.0,8521,4251,1,59.33552069999999,18.0510986
,"Torsgatan 5, 2tr",6775000,11123,Stockholms kommun,42842,Lägenhet,Bostadsrätt,3.0,84.5,,0,,1,2009.0,11475,4415,1,59.33552069999999,18.0510986
,"Upplandsgatan 11, 3tr",8650000,11123,Stockholms kommun,42842,Lägenhet,Bostadsrätt,2.0,64.0,,0,,3,1885.0,6000,3384,1,59.33734339999999,18.0534842
,Dalagatan 6A,5100000,11123,Stockholms kommun,42842,Lägenhet,Bostadsrätt,2.0,52.0,,1,,4,1944.0,6950,2710,1,59.3364748,18.0510809
,"Dalagatan 8, 5tr",4400000,11123,Stockholms kommun,42842,Lägenhet,Bostadsrätt,1.5,42.0,,0,,5,1929.0,5880,2191,1,59.3367441,18.0508641
,"Torsgatan 5, 2tr",7000000,11123,Stockholms kommun,42842,Lägenhet,Bostadsrätt,3.0,76.0,,0,,2,2009.0,8521,4251,1,59.33552069999999,18.0510986
,"Torsgatan 7, 3tr",7200000,11123,Stockholms kommun,42842,Lägenhet,Bostadsrätt,3.0,82.0,,0,,3,2009.0,10200,4523,0,59.33565189999999,18.0504958
,Upplandsgatan 11A,6750000,11123,Stockholms kommun,42842,Lägenhet,Bostadsrätt,2.0,55.0,,0,,1,1885.0,3000,2632,1,59.33727179999999,18.0531656
,"Lilla Bantorget 25, 6 tr",8550000,11123,Stockholms kommun,42842,Lägenhet,Bostadsrätt,3.0,75.5,,0,,6,2009.0,4800,4227,1,59.3353965,18.0514008
,"Dalagatan 6A, 3 tr",3650000,11123,Stockholms kommun,42842,Lägenhet,Bostadsrätt,1.0,35.0,,0,,2,1946.0,6100,1822,1,59.3364748,18.0510809
,"Wallingatan 14, 2tr",7100000,11124,Stockholms kommun,46954,Lägenhet,Bostadsrätt,2.0,64.0,,0,,2,1892.0,3000,2416,1,59.3370411,18.056872
,Västmannagatan 13,3100000,11124,Stockholms kommun,46954,Lägenhet,Bostadsrätt,1.0,23.0,,0,,2,1886.0,4400,2667,1,59.336975,18.0520271
,"Kammakargatan 70, vån 3",4520000,11124,Stockholms kommun,46954,Lägenhet,Bostadsrätt,2.0,48.0,,0,,1,1949.0,4800,2501,1,59.3365996,18.0517261
,Wallingatan 13,8200000,11124,Stockholms kommun,46954,Lägenhet,Bostadsrätt,3.0,81.0,,0,,0,1889.0,9900,4105,0,59.3368831,18.0568651
,"Wallingatan 16 A, 4 tr",4600000,11124,Stockholms kommun,46954,Lägenhet,Bostadsrätt,2.0,35.0,,0,,4,1872.0,3000,2567,1,59.3371892,18.0564503
,"Kammakargatan 64B, 3 tr",3550000,11124,Stockholms kommun,46954,Lägenhet,Bostadsrätt,1.0,29.0,,0,,3,1927.0,3000,2545,1,59.3368962,18.0531644
,Wallingatan 14 A,7200000,11124,Stockholms kommun,46954,Lägenhet,Bostadsrätt,3.0,66.0,10 m²,0,,3,1892.0,5500,2827,0,59.3372354,18.0566208
,"Kammakargatan 70, 2 tr",3100000,11124,Stockholms kommun,46954,Lägenhet,Bostadsrätt,1.0,33.0,,1,,1,1946.0,3000,1720,1,59.3365996,18.0517261
,"Västmannagatan 12 B, 3 tr ög",6600000,11124,Stockholms kommun,46954,Lägenhet,Bostadsrätt,2.0,52.0,,0,,1,1909.0,8400,2040,1,59.3371961,18.052959
,"Wallingatan 14A, 1tr över gård.",3750000,11124,Stockholms kommun,46954,Lägenhet,Bostadsrätt,1.5,30.0,,0,,3,1892.0,4044,1641,1,59.3372354,18.0566208
,"Västmannagatan 14, 4 tr",8800000,11124,Stockholms kommun,46954,Lägenhet,Bostadsrätt,3.0,72.0,,0,,4,1886.0,6000,1467,1,59.3372663,18.0522418
,Västmannagatan 8,7825000,11124,Stockholms kommun,46954,Lägenhet,Bostadsrätt,4.0,92.0,,0,,0,1862.0,3000,4283,0,59.33655229999999,18.052948
,"Mälartorget 15, 5 tr",7000000,11127,Stockholms kommun,45753,Lägenhet,Bostadsrätt,3.0,67.0,,0,,1,1860.0,7589,3130,1,59.3231913,18.0688254
,"Mälartorget 15, 5 tr",7000000,11127,Stockholms kommun,45753,Lägenhet,Bostadsrätt,3.0,67.0,,0,,5,1860.0,7589,3130,1,59.3231913,18.0688254
,Gåsgränd 2,8900000,11127,Stockholms kommun,45753,Lägenhet,Bostadsrätt,3.5,72.0,,0,,2,1740.0,33600,650,1,59.32517550000001,18.0689125
,Schönfeldts gränd 1,8100000,11127,Stockholms kommun,45753,Lägenhet,Bostadsrätt,2.0,71.0,,0,,2,1600.0,2400,1984,1,59.3238535,18.0694466
,"Helga Lekamens Gränd 3, 3/4 tr!",7850000,11127,Stockholms kommun,45753,Lägenhet,Bostadsrätt,3.0,74.0,,0,,3,1620.0,27000,2513,1,59.3252659,18.0682629
,Lilla Nygatan 21,8125000,11128,Stockholms kommun,64498,Lägenhet,Bostadsrätt,3.0,94.0,,0,,1,1660.0,3000,3482,1,59.32344870000001,18.0696164
,Prästgatan 44A,6000000,11129,Stockholms kommun,41326,Lägenhet,Bostadsrätt,3.0,40.0,31 m²,0,,0,1650.0,3000,1598,0,59.3246218,18.0700527
,Prästgatan 44A,6000000,11129,Stockholms kommun,41326,Lägenhet,Bostadsrätt,3.0,40.0,31 m²,0,,2,1650.0,3000,1598,1,59.3246218,18.0700527
,Telegrafgränd 1A,4000000,11130,Stockholms kommun,59894,Lägenhet,Bostadsrätt,1.0,31.0,,0,,2,,6600,2201,1,59.3259449,18.0743497
,Telegrafgränd 1A,4000000,11130,Stockholms kommun,59894,Lägenhet,Bostadsrätt,1.0,31.0,,0,,6,,6600,2201,1,59.3259449,18.0743497
,Telegrafgränd 1A,3650000,11130,Stockholms kommun,59894,Lägenhet,Bostadsrätt,1.0,22.0,,0,,2,1650.0,3000,1515,1,59.3259449,18.0743497
,Köpmangatan 11,4600000,11131,Stockholms kommun,48331,Lägenhet,Bostadsrätt,2.0,43.0,,0,,2,1600.0,5200,2607,1,59.32502280000001,18.0720753
,Köpmangatan 8,5830000,11131,Stockholms kommun,48331,Lägenhet,Bostadsrätt,3.0,49.0,,0,,4,1500.0,12500,3010,1,59.3251948,18.0728355
,Österlånggatan 33,4550000,11131,Stockholms kommun,48331,Lägenhet,Bostadsrätt,2.0,36.0,,0,,7,1629.0,5000,1706,1,59.32427449999999,18.0740051
,Köpmangatan 6,6200000,11131,Stockholms kommun,48331,Lägenhet,Bostadsrätt,2.0,52.0,,0,,3,1650.0,9095,3277,1,55.4583173,14.1802102
,Österlånggatan 33,5650000,11131,Stockholms kommun,48331,Lägenhet,Bostadsrätt,2.0,41.0,,0,,2,,22800,2079,1,59.32427449999999,18.0740051
,Sveavägen 62,3280000,11134,Stockholms kommun,108608,Lägenhet,Bostadsrätt,1.5,25.0,,0,,3,1931.0,6000,0,1,59.3389343,18.0608468
,Sveavägen 62,3280000,11134,Stockholms kommun,108608,Lägenhet,Bostadsrätt,1.5,25.0,,0,,4,1931.0,6000,0,1,59.3389343,18.0608468
,Drottninggatan 73A,3350000,11136,Stockholms kommun,52408,Lägenhet,Bostadsrätt,1.0,29.0,,0,,1,1886.0,5700,949,1,59.3367629,18.058307
,Drottninggatan 90B,5200000,11136,Stockholms kommun,52408,Lägenhet,Bostadsrätt,1.5,44.0,,0,,3,1939.0,3000,1006,1,59.336701,18.0588515
