,titel,slutpris,postnummer,ort,medelinkomst_månad,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Biarea,Uteplats,Tomtarea,Våning,Byggår,Driftkostnad,Avgift,Finns_hiss,Slutpris_delat,inkomst_delat
0,"Kammakargatan 70, 2 tr",3100000,11124,Stockholms kommun,46954,Lägenhet,Bostadsrätt,1.0,33.0,,1,,1,1946.0,3000,1720,1,31.0,4.6954
1,Västmannagatan 13,3100000,11124,Stockholms kommun,46954,Lägenhet,Bostadsrätt,1.0,23.0,,0,,2,1886.0,4400,2667,1,31.0,4.6954
2,Västmannagatan 13,3100000,11124,Stockholms kommun,46954,Lägenhet,Bostadsrätt,1.0,23.0,,0,,2,1886.0,4400,2667,1,31.0,4.6954
3,Sveavägen 62,3280000,11134,Stockholms kommun,108608,Lägenhet,Bostadsrätt,1.5,25.0,,0,,1,1931.0,6000,0,1,32.8,10.8608
4,Sveavägen 62,3280000,11134,Stockholms kommun,108608,Lägenhet,Bostadsrätt,1.5,25.0,,0,,3,1931.0,6000,0,1,32.8,10.8608
5,Drottninggatan 73A,3350000,11136,Stockholms kommun,52408,Lägenhet,Bostadsrätt,1.0,29.0,,0,,1,1886.0,5700,949,1,33.5,5.2408
6,"Tegnérgatan 19, 2 tr",2920000,11140,Stockholms kommun,67919,Lägenhet,Bostadsrätt,1.0,22.0,,0,,1,1936.0,3000,1243,1,29.2,6.7919
7,Kammakargatan 21,3070000,11160,Stockholms kommun,46058,Lägenhet,Bostadsrätt,1.0,26.0,,0,,4,1942.0,4800,1853,1,30.7,4.6058
8,Kammakargatan 21,3070000,11160,Stockholms kommun,46058,Lägenhet,Bostadsrätt,1.0,26.0,,0,,1,1942.0,4800,1853,1,30.7,4.6058
9,Kammakargatan 46,3250000,11160,Stockholms kommun,46058,Lägenhet,Bostadsrätt,1.0,26.0,,0,,1,,3000,1761,1,32.5,4.6058
10,Kammakargatan 46,3250000,11160,Stockholms kommun,46058,Lägenhet,Bostadsrätt,1.0,26.0,,0,,1,,3000,1761,1,32.5,4.6058
11,"Tegnérgatan 55 C, 4tr",3000000,11161,Stockholms kommun,53116,Lägenhet,Bostadsrätt,1.0,24.0,,0,,2,1928.0,3800,2092,1,30.0,5.3116
12,"Tegnérgatan 57, 2 tr",3300000,11161,Stockholms kommun,53116,Lägenhet,Bostadsrätt,1.0,26.0,,0,,2,1929.0,4800,1801,1,33.0,5.3116
13,"Tegnérgatan 55 C, 4tr",3000000,11161,Stockholms kommun,53116,Lägenhet,Bostadsrätt,1.0,24.0,,0,,2,1928.0,3800,2092,1,30.0,5.3116
14,"Tegnérgatan 55 C, 4tr",3000000,11161,Stockholms kommun,53116,Lägenhet,Bostadsrätt,1.0,24.0,,0,,1,1928.0,3800,2092,1,30.0,5.3116
15,"Tegnérgatan 57, 2 tr",3300000,11161,Stockholms kommun,53116,Lägenhet,Bostadsrätt,1.0,26.0,,0,,1,1929.0,4800,1801,1,33.0,5.3116
16,"Garvar Lundins gränd 6, vån 2",3350000,11220,Stockholms kommun,73351,Lägenhet,Bostadsrätt,1.0,30.0,,0,,4,1927.0,3000,1136,1,33.5,7.3351
17,Kungsholms Hamnplan 5,3075000,11220,Stockholms kommun,73351,Lägenhet,Bostadsrätt,1.0,23.0,,0,,1,1913.0,6000,1063,1,30.75,7.3351
18,"Skillinggränd 9, 4 tr",2850000,11220,Stockholms kommun,73351,Lägenhet,Bostadsrätt,1.0,20.0,,0,,4,1927.0,3000,1289,1,28.5,7.3351
19,"Garvar Lundins gränd 6, vån 2",3350000,11220,Stockholms kommun,73351,Lägenhet,Bostadsrätt,1.0,30.0,,0,,2,1927.0,3000,1136,1,33.5,7.3351
20,Kungsholms Hamnplan 5,3075000,11220,Stockholms kommun,73351,Lägenhet,Bostadsrätt,1.0,23.0,,0,,2,1913.0,6000,1063,1,30.75,7.3351
21,"Hantverkargatan 28A, Gårdshus",3100000,11221,Stockholms kommun,70404,Lägenhet,Bostadsrätt,1.0,22.0,,0,,1,1883.0,3000,1032,1,31.0,7.0404
22,"Hantverkargatan 28A, Gårdshus",3100000,11221,Stockholms kommun,70404,Lägenhet,Bostadsrätt,1.0,22.0,,0,,2,1883.0,3000,1032,1,31.0,7.0404
23,John Ericssonsgatan 14,3500000,11222,Stockholms kommun,41736,Lägenhet,Bostadsrätt,1.0,30.0,,0,,3,1934.0,7000,1248,1,35.0,4.1736
24,"John Ericssonsgatan 18, 3tr",3060000,11222,Stockholms kommun,41736,Lägenhet,Bostadsrätt,1.0,24.0,,0,,2,1935.0,3600,1013,1,30.6,4.1736
25,John Ericssonsgatan 11A,3450000,11222,Stockholms kommun,41736,Lägenhet,Bostadsrätt,1.0,33.0,,0,,2,1935.0,5400,2216,1,34.5,4.1736
26,John Ericssonsgatan 3,3100000,11222,Stockholms kommun,41736,Lägenhet,Bostadsrätt,1.0,32.0,,0,,5,,3000,2015,1,31.0,4.1736
27,John Ericssonsgatan 11A,3450000,11222,Stockholms kommun,41736,Lägenhet,Bostadsrätt,1.0,33.0,,0,,3,1935.0,5400,2216,1,34.5,4.1736
28,"John Ericssonsgatan 18, 3tr",3060000,11222,Stockholms kommun,41736,Lägenhet,Bostadsrätt,1.0,24.0,,0,,7,1935.0,3600,1013,1,30.6,4.1736
29,John Ericssonsgatan 14,3500000,11222,Stockholms kommun,41736,Lägenhet,Bostadsrätt,1.0,30.0,,0,,1,1934.0,7000,1248,1,35.0,4.1736
30,Bergsgatan 11,3350000,11223,Värmdö kommun,48167,Lägenhet,Bostadsrätt,2.5,72.0,,1,,2,1882.0,4200,4736,1,33.5,4.8167
31,Pipersgatan 16,3100000,11224,Stockholms kommun,48880,Lägenhet,Bostadsrätt,2.0,27.5,,0,,3,1935.0,5800,3054,1,31.0,4.888
32,"Kungsklippan 20, vån 4",2990000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,27.0,,0,,7,1934.0,3000,3127,1,29.9,4.5896
33,Kungsklippan 11,2285000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,23.0,,0,,1,1938.0,3000,2744,1,22.85,4.5896
34,Kungsklippan 11,2600000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,31.0,,0,,1,1938.0,3000,4060,1,26.0,4.5896
35,"Kungsklippan 20, vån 4",3010000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,32.5,,0,,2,1934.0,3000,3606,1,30.1,4.5896
36,"Kungsklippan 12, 7 tr",3250000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,32.0,,0,,6,1934.0,3000,3446,1,32.5,4.5896
37,Kungsklippan 20,2750000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,23.0,,0,,5,,3840,2737,1,27.5,4.5896
38,Kungsklippan 11,2950000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.5,30.0,,1,,1,1937.0,5400,3909,1,29.5,4.5896
39,Kungsklippan 14,3380000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,2.0,36.5,,0,,3,1937.0,5400,3997,1,33.8,4.5896
40,"Kungsklippan 11, våning 2",2495000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,24.0,,0,,2,,3000,2263,1,24.95,4.5896
41,Kungsklippan 11,2600000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,31.0,,0,,3,1938.0,5088,4045,1,26.0,4.5896
42,Kungsklippan 20,2675000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,28.0,,0,,1,1934.0,3000,3215,1,26.75,4.5896
43,"Kungsklippan 11, 3 tr",2325000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,24.0,,0,,3,1938.0,4800,2274,1,23.25,4.5896
44,Kungsklippan 17B,3200000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.5,27.0,,0,,1,1911.0,3000,1023,1,32.0,4.5896
45,Kungsklippan 5,2900000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,24.0,,0,,4,1911.0,3000,1293,1,29.0,4.5896
46,Kungsklippan 11,2340000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,24.0,,0,,2,,3600,2828,1,23.4,4.5896
47,Kungsklippan 11,2650000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.5,31.0,,0,,2,,6324,4012,1,26.5,4.5896
48,"Kungsklippan 11, 4tr",2730000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,2.0,31.0,,0,,1,1938.0,6000,4061,1,27.3,4.5896
49,Kungsklippan 11,2700000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.5,31.0,,0,,8,1938.0,4800,4012,1,27.0,4.5896
50,"Kungsklippan 12, 7 tr",3250000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,32.0,,0,,2,1934.0,3000,3446,1,32.5,4.5896
51,"Kungsklippan 20, vån 2",2900000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,27.0,,0,,2,1934.0,3000,3127,1,29.0,4.5896
52,Kungsklippan 11,2400000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,24.0,,0,,2,1938.0,4560,2828,1,24.0,4.5896
53,"Kungsklippan 11, vån 5",2395000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,24.0,,0,,5,,7488,2870,1,23.95,4.5896
54,"Kungsklippan 20, vån 6",2880000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,27.0,,0,,2,1934.0,3100,3127,1,28.8,4.5896
55,Kungsklippan 20,2895000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,2.0,31.5,,0,,3,1934.0,3000,3403,1,28.95,4.5896
56,Kungsklippan 17B,3200000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.5,27.0,,0,,1,1911.0,3000,1023,1,32.0,4.5896
57,Kungsklippan 12,3500000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,2.0,36.0,,0,,2,1934.0,5796,3954,1,35.0,4.5896
58,Kungsklippan 12,3500000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,2.0,36.0,,0,,2,1934.0,5796,3954,1,35.0,4.5896
59,"Kungsklippan 20, vån 4",3010000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,32.5,,0,,5,1934.0,3000,3606,1,30.1,4.5896
60,"Kungsbro strand 25, vån 3",3050000,11226,Stockholms kommun,60764,Lägenhet,Bostadsrätt,1.0,32.5,,0,,1,1936.0,3000,3649,1,30.5,6.0764
61,Kungsholmsgatan 13,3250000,11227,Stockholms kommun,48255,Lägenhet,Bostadsrätt,1.0,33.5,,0,,2,1935.0,3000,3577,1,32.5,4.8255
62,Kungsholmsgatan 13,3250000,11227,Stockholms kommun,48255,Lägenhet,Bostadsrätt,1.0,33.5,,0,,3,1935.0,3000,3577,1,32.5,4.8255
63,"Kungsholmsgatan 9, vån 2",2850000,11227,Stockholms kommun,48255,Lägenhet,Bostadsrätt,2.0,28.5,,1,,1,1934.0,708,3141,1,28.5,4.8255
64,Kungsholmsgatan 13,2750000,11227,Stockholms kommun,48255,Lägenhet,Bostadsrätt,1.0,24.0,,0,,-1,1934.0,3000,2577,1,27.5,4.8255
65,"Kungsholmsgatan 9, 4tr",2550000,11227,Stockholms kommun,48255,Lägenhet,Bostadsrätt,1.0,23.0,,0,,0,1935.0,8496,2779,1,25.5,4.8255
66,Kungsholmsgatan 9,2875000,11227,Stockholms kommun,48255,Lägenhet,Bostadsrätt,1.0,33.0,,0,,4,1934.0,3000,3448,1,28.75,4.8255
67,Kungsholmsgatan 13,3350000,11227,Stockholms kommun,48255,Lägenhet,Bostadsrätt,1.0,34.5,,0,,7,1935.0,6000,3664,1,33.5,4.8255
68,"Kungsholmsgatan 11, 6tr",3150000,11227,Stockholms kommun,48255,Lägenhet,Bostadsrätt,1.0,31.5,,0,,6,1936.0,3900,3562,1,31.5,4.8255
69,Kungsholmsgatan 13,3350000,11227,Stockholms kommun,48255,Lägenhet,Bostadsrätt,1.0,34.5,,0,,3,1935.0,6000,3664,1,33.5,4.8255
70,"Kungsholmsgatan 11, 6tr",3150000,11227,Stockholms kommun,48255,Lägenhet,Bostadsrätt,1.0,31.5,,0,,2,1936.0,3900,3562,1,31.5,4.8255
71,"Bergsgatan 29, 4tr",2500000,11228,Stockholms kommun,57275,Lägenhet,Bostadsrätt,1.0,24.0,,0,,2,1935.0,7092,1501,1,25.0,5.7275
72,"Bergsgatan 29, 4tr",2500000,11228,Stockholms kommun,57275,Lägenhet,Bostadsrätt,1.0,24.0,,0,,4,1935.0,7092,1501,1,25.0,5.7275
73,"Wargentinsgatan 5B, 1 tr",2700000,11229,Stockholms kommun,51587,Lägenhet,Bostadsrätt,1.0,26.0,,0,,6,1931.0,400,1589,1,27.0,5.1587
74,Wargentinsgatan 5D,2725000,11229,Stockholms kommun,51587,Lägenhet,Bostadsrätt,1.0,22.5,,0,,2,1932.0,4344,1331,1,27.25,5.1587
75,"Polhemsgatan 33, 3tr",3320000,11230,Stockholms kommun,45394,Lägenhet,Bostadsrätt,1.0,34.0,,0,,3,1929.0,5000,2152,1,33.2,4.5394
76,"Celsiusgatan 4, 3tr",3300000,11230,Stockholms kommun,45394,Lägenhet,Bostadsrätt,1.5,31.5,,0,,-1,1932.0,4800,2022,1,33.0,4.5394
77,"Celsiusgatan 4, 3tr",3300000,11230,Stockholms kommun,45394,Lägenhet,Bostadsrätt,1.5,31.5,,0,,-1,1932.0,4800,2022,1,33.0,4.5394
78,"Polhemsgatan 33, 3tr",3320000,11230,Stockholms kommun,45394,Lägenhet,Bostadsrätt,1.0,34.0,,0,,4,1929.0,5000,2152,1,33.2,4.5394
79,"Bergsgatan 51, vån 2",3315000,11231,Stockholms kommun,42379,Lägenhet,Bostadsrätt,1.5,31.0,,0,,5,1963.0,3000,885,1,33.15,4.2379
80,"Bergsgatan 51, vån 2",3315000,11231,Stockholms kommun,42379,Lägenhet,Bostadsrätt,1.5,31.0,,0,,3,1963.0,3000,885,1,33.15,4.2379
81,Bergsgatan 49,3050000,11231,Stockholms kommun,42379,Lägenhet,Bostadsrätt,1.0,31.0,,0,,3,1931.0,4800,1694,1,30.5,4.2379
82,Fleminggatan 34,2850000,11232,Stockholms kommun,48899,Lägenhet,Bostadsrätt,1.0,26.0,,0,,3,1921.0,3000,1100,1,28.5,4.8899
83,Inedalsgatan 15,3200000,11233,Stockholms kommun,42968,Lägenhet,Bostadsrätt,1.0,20.0,,0,,2,1911.0,3000,1969,1,32.0,4.2968
84,Inedalsgatan 15,2485000,11233,Stockholms kommun,42968,Lägenhet,Bostadsrätt,1.0,14.0,,0,,1,1911.0,1500,1336,1,24.85,4.2968
85,Kronobergsgatan 41,3375000,11233,Stockholms kommun,42968,Lägenhet,Bostadsrätt,1.5,35.0,,0,,2,1927.0,3600,2613,1,33.75,4.2968
86,Kronobergsgatan 20,2975000,11233,Stockholms kommun,42968,Lägenhet,Bostadsrätt,1.0,19.0,,0,,2,1911.0,3000,1863,1,29.75,4.2968
87,"Kronobergsgatan 19, våning 2",3350000,11233,Stockholms kommun,42968,Lägenhet,Bostadsrätt,1.0,30.0,,0,,2,1905.0,3000,1741,1,33.5,4.2968
88,Inedalsgatan 15,2995000,11233,Stockholms kommun,42968,Lägenhet,Bostadsrätt,1.0,20.0,,0,,2,1911.0,3120,2332,1,29.95,4.2968
89,Kronobergsgatan 16,3415000,11233,Stockholms kommun,42968,Lägenhet,Bostadsrätt,2.0,31.0,,0,,5,1928.0,5880,1568,1,34.15,4.2968
90,Kronobergsgatan 41,3375000,11233,Stockholms kommun,42968,Lägenhet,Bostadsrätt,1.5,35.0,,0,,2,1927.0,3600,2613,1,33.75,4.2968
91,"Kronobergsgatan 20, 4 tr",2930000,11233,Stockholms kommun,42968,Lägenhet,Bostadsrätt,1.0,19.0,,0,,5,1911.0,3000,1863,1,29.3,4.2968
92,"Kronobergsgatan 20, 2tr",2700000,11233,Stockholms kommun,42968,Lägenhet,Bostadsrätt,1.0,18.0,,0,,2,1911.0,4800,1758,1,27.0,4.2968
93,Kronobergsgatan 20,2950000,11233,Stockholms kommun,42968,Lägenhet,Bostadsrätt,1.0,18.0,,0,,1,1911.0,1500,1758,1,29.5,4.2968
94,Sankt Göransgatan 64,2950000,11233,Stockholms kommun,42968,Lägenhet,Bostadsrätt,1.0,26.0,,0,,5,1941.0,3000,1781,1,29.5,4.2968
95,"Inedalsgatan 15, Vån 4",2750000,11233,Stockholms kommun,42968,Lägenhet,Bostadsrätt,1.0,18.0,,0,,8,1911.0,3000,1758,1,27.5,4.2968
96,Kronobergsgatan 28,3050000,11233,Stockholms kommun,42968,Lägenhet,Bostadsrätt,1.0,27.0,,0,,3,1914.0,4800,1877,1,30.5,4.2968
97,Inedalsgatan 15,2900000,11233,Stockholms kommun,42968,Lägenhet,Bostadsrätt,1.0,18.0,,0,,3,1911.0,5000,1758,1,29.0,4.2968
98,Inedalsgatan 15,2950000,11233,Stockholms kommun,42968,Lägenhet,Bostadsrätt,1.0,20.0,,0,,6,1911.0,4000,1969,1,29.5,4.2968
99,Inedalsgatan 15,3200000,11233,Stockholms kommun,42968,Lägenhet,Bostadsrätt,1.0,20.0,,0,,4,1911.0,3000,2400,1,32.0,4.2968
100,"Kronobergsgatan 16, Accepterat pris",2900000,11233,Stockholms kommun,42968,Lägenhet,Bostadsrätt,1.0,26.0,,1,,1,1929.0,6800,1315,1,29.0,4.2968
101,Inedalsgatan 15,3200000,11233,Stockholms kommun,42968,Lägenhet,Bostadsrätt,1.0,20.0,,0,,7,1911.0,3000,1969,1,32.0,4.2968
102,Sankt Eriksgatan 41,3200000,11234,Stockholms kommun,40020,Lägenhet,Bostadsrätt,1.0,28.0,,0,,1,1937.0,3627,819,1,32.0,4.002
103,Sankt eriksgatan 39,2970000,11234,Stockholms kommun,40020,Lägenhet,Bostadsrätt,1.0,25.0,,0,,2,1937.0,4200,814,1,29.7,4.002
104,"Sankt Eriksgatan 39, 1 tr",3000000,11234,Stockholms kommun,40020,Lägenhet,Bostadsrätt,1.0,27.0,,0,,3,1937.0,3000,790,1,30.0,4.002
105,Sankt Eriksgatan 41,3200000,11234,Stockholms kommun,40020,Lägenhet,Bostadsrätt,1.0,28.0,,0,,1,1937.0,3627,819,1,32.0,4.002
106,"Sankt Eriksgatan 39, 1 tr",3000000,11234,Stockholms kommun,40020,Lägenhet,Bostadsrätt,1.0,27.0,,0,,2,1937.0,3000,790,1,30.0,4.002
107,Ehrensvärdsgatan 6,3300000,11235,Stockholms kommun,75485,Lägenhet,Bostadsrätt,1.0,29.0,,0,,3,1930.0,4500,1382,1,33.0,7.5485
108,Norr Mälarstrand 88,2600000,11235,Stockholms kommun,75485,Lägenhet,Bostadsrätt,1.0,20.0,,0,,8,1925.0,5000,1154,1,26.0,7.5485
109,Ehrensvärdsgatan 4,3010000,11235,Stockholms kommun,75485,Lägenhet,Bostadsrätt,1.0,26.0,,0,,2,1931.0,6000,1073,1,30.1,7.5485
110,"Norr Mälarstrand 88, vån 3",2950000,11235,Stockholms kommun,75485,Lägenhet,Bostadsrätt,1.0,25.3,,0,,1,1926.0,3000,1510,1,29.5,7.5485
111,Ehrensvärdsgatan 6,3300000,11235,Stockholms kommun,75485,Lägenhet,Bostadsrätt,1.0,29.0,,0,,2,1930.0,4500,1382,1,33.0,7.5485
112,Jaktvarvsplan 3,3250000,11236,Stockholms kommun,47494,Lägenhet,Bostadsrätt,1.5,29.0,,0,,3,1931.0,5400,1727,1,32.5,4.7494
113,"Ture Nermans Gränd 4, 2 tr",3350000,11237,Stockholms kommun,46790,Lägenhet,Bostadsrätt,2.0,26.0,,0,,3,1930.0,5000,607,1,33.5,4.679
114,"Sven Rinmans gata 4, 2tr",2975000,11237,Stockholms kommun,46790,Lägenhet,Bostadsrätt,1.0,28.0,,0,,3,1931.0,5400,1858,1,29.75,4.679
115,"Pontonjärgatan 18, 1tr",3000000,11237,Stockholms kommun,46790,Lägenhet,Bostadsrätt,1.0,26.0,,0,,1,1931.0,6360,1727,1,30.0,4.679
116,Ture Nermans gränd 6,2820000,11237,Stockholms kommun,46790,Lägenhet,Bostadsrätt,1.0,25.5,,0,,2,1930.0,3000,607,1,28.2,4.679
117,Pontonjärgatan 49,3050000,11237,Stockholms kommun,46790,Lägenhet,Bostadsrätt,1.0,22.0,,0,,2,1922.0,11500,794,1,30.5,4.679
118,"Pontonjärgatan 18, 1tr",3000000,11237,Stockholms kommun,46790,Lägenhet,Bostadsrätt,1.0,26.0,,0,,4,1931.0,6360,1727,1,30.0,4.679
119,Pontonjärgatan 49,3050000,11237,Stockholms kommun,46790,Lägenhet,Bostadsrätt,1.0,22.0,,0,,2,1922.0,11500,794,1,30.5,4.679
120,"Pontonjärgatan 18, 1tr",3000000,11237,Stockholms kommun,46790,Lägenhet,Bostadsrätt,1.0,26.0,,0,,2,1931.0,6360,1727,1,30.0,4.679
121,"Ture Nermans Gränd 4, 2 tr",3350000,11237,Stockholms kommun,46790,Lägenhet,Bostadsrätt,2.0,26.0,,0,,-1,1930.0,5000,607,1,33.5,4.679
122,Pontonjärgatan 33,2560000,11237,Stockholms kommun,46790,Lägenhet,Bostadsrätt,1.0,21.0,,0,,1,1931.0,4948,1066,1,25.6,4.679
123,"Fridhemsplan 29, 1,5 tr",2995000,11240,Stockholms kommun,60642,Lägenhet,Bostadsrätt,2.0,28.0,,0,,2,1938.0,3000,2241,1,29.95,6.0642
124,Fridhemsgatan 1,3335000,11240,Stockholms kommun,60642,Lägenhet,Bostadsrätt,1.5,41.0,,0,,1,1939.0,5340,2827,1,33.35,6.0642
125,Fridhemsplan 29,2700000,11240,Stockholms kommun,60642,Lägenhet,Bostadsrätt,2.0,26.0,,0,,2,,6000,2340,1,27.0,6.0642
126,Karlsviksgatan 9,3000000,11241,Stockholms kommun,45598,Lägenhet,Bostadsrätt,1.5,27.0,,0,,4,1929.0,3000,1585,1,30.0,4.5598
127,"Sysslomansgatan 24, 4 Tr",3050000,11241,Stockholms kommun,45598,Lägenhet,Bostadsrätt,1.0,25.0,,0,,3,1939.0,4800,1592,1,30.5,4.5598
128,"Sysslomansgatan 22, 6tr",3345000,11241,Stockholms kommun,45598,Lägenhet,Bostadsrätt,2.0,33.0,,0,,3,1940.0,8544,2173,1,33.45,4.5598
129,"Sysslomansgatan 24, 2tr",3125000,11241,Stockholms kommun,45598,Lägenhet,Bostadsrätt,1.0,25.0,,0,,2,1939.0,4000,1474,1,31.25,4.5598
130,Karlsviksgatan 9,3000000,11241,Stockholms kommun,45598,Lägenhet,Bostadsrätt,1.5,27.0,,0,,3,1929.0,3000,1585,1,30.0,4.5598
131,Karlsviksgatan 9,3000000,11241,Stockholms kommun,45598,Lägenhet,Bostadsrätt,1.5,27.0,,0,,0,1929.0,3000,1585,1,30.0,4.5598
132,Sysslomansgatan 8,3450000,11241,Stockholms kommun,45598,Lägenhet,Bostadsrätt,2.0,39.0,,0,,2,1938.0,6200,2164,1,34.5,4.5598
133,"Sysslomansgatan 8, 7 tr",2975000,11241,Stockholms kommun,45598,Lägenhet,Bostadsrätt,1.0,26.0,,0,,1,1938.0,4900,1509,1,29.75,4.5598
134,"Sysslomansgatan 8, 1tr",2495000,11241,Stockholms kommun,45598,Lägenhet,Bostadsrätt,1.0,26.0,,0,,1,1938.0,4800,1509,1,24.95,4.5598
135,Drottningholmsvägen 31,3025000,11242,Stockholms kommun,47883,Lägenhet,Bostadsrätt,2.0,32.0,,0,,1,1938.0,3549,1990,1,30.25,4.7883
136,Baltzar von Platens gata 7C,2515000,11242,Stockholms kommun,47883,Lägenhet,Bostadsrätt,1.0,20.5,,0,,3,1930.0,1296,513,1,25.15,4.7883
137,Baltzar von platens gata 1,3000000,11242,Stockholms kommun,47883,Lägenhet,Bostadsrätt,1.0,22.0,,0,,3,1932.0,5400,1289,1,30.0,4.7883
138,Drottningholmsvägen 31,3025000,11242,Stockholms kommun,47883,Lägenhet,Bostadsrätt,2.0,32.0,,0,,2,1938.0,3549,1990,1,30.25,4.7883
139,Drottningholmsvägen 72,3200000,11243,Stockholms kommun,35597,Lägenhet,Bostadsrätt,1.0,40.0,,0,,2,1927.0,3000,2538,1,32.0,3.5597
140,"Gyllenborgsgatan 9, 2 tr",3450000,11243,Stockholms kommun,35597,Lägenhet,Bostadsrätt,1.5,40.5,,0,,3,1926.0,6744,2287,1,34.5,3.5597
141,"Lindhagensgatan 65, 1.5tr",3000000,11243,Stockholms kommun,35597,Lägenhet,Bostadsrätt,1.5,27.5,,0,,1,1926.0,3000,2119,1,30.0,3.5597
142,Gyllenborgsgatan 16,3200000,11243,Stockholms kommun,35597,Lägenhet,Bostadsrätt,1.5,34.0,,0,,1,1926.0,3000,1885,1,32.0,3.5597
143,Gyllenborgsgatan 18,2250000,11243,Stockholms kommun,35597,Lägenhet,Bostadsrätt,1.0,20.5,,0,,0,1926.0,3000,1199,1,22.5,3.5597
144,Gyllenborgsgatan 12,3500000,11243,Stockholms kommun,35597,Lägenhet,Bostadsrätt,1.5,40.0,,0,,2,1926.0,3000,2632,1,35.0,3.5597
145,Gyllenborgsgatan 18,2250000,11243,Stockholms kommun,35597,Lägenhet,Bostadsrätt,1.0,20.5,,0,,0,1926.0,3000,1199,1,22.5,3.5597
146,"Gyllenborgsgatan 9, 2 tr",2500000,11243,Stockholms kommun,35597,Lägenhet,Bostadsrätt,1.0,19.0,,0,,2,1926.0,3000,1377,1,25.0,3.5597
147,"Lindhagensgatan 65, 2 tr",3425000,11243,Stockholms kommun,35597,Lägenhet,Bostadsrätt,2.0,37.0,,0,,2,1936.0,3000,2361,1,34.25,3.5597
148,Lindhagensgatan 59,2280000,11243,Stockholms kommun,35597,Lägenhet,Bostadsrätt,1.0,25.0,,0,,1,1929.0,3000,2015,1,22.8,3.5597
149,Gyllenborgsgatan 16,3100000,11243,Stockholms kommun,35597,Lägenhet,Bostadsrätt,1.0,33.5,,0,,2,1926.0,3000,2229,1,31.0,3.5597
150,"Gyllenborgsgatan 16, 1,5 tr",2500000,11243,Stockholms kommun,35597,Lägenhet,Bostadsrätt,1.0,20.5,,0,,3,1926.0,3000,1362,1,25.0,3.5597
151,Thorildsplan 2,2875000,11243,Stockholms kommun,35597,Lägenhet,Bostadsrätt,1.5,27.0,,0,,1,1927.0,1572,1817,1,28.75,3.5597
152,"Gyllenborgsgatan 16, 1,5 tr",2500000,11243,Stockholms kommun,35597,Lägenhet,Bostadsrätt,1.0,20.5,,0,,2,1926.0,3000,1362,1,25.0,3.5597
153,"Lindhagensgatan 65, 1.5tr",3000000,11243,Stockholms kommun,35597,Lägenhet,Bostadsrätt,1.5,27.5,,0,,1,1926.0,3000,2119,1,30.0,3.5597
154,"Gyllenborgsgatan 9, 2 tr",2500000,11243,Stockholms kommun,35597,Lägenhet,Bostadsrätt,1.0,19.0,,0,,1,1926.0,3000,1377,1,25.0,3.5597
155,Gyllenborgsgatan 14,3070000,11243,Stockholms kommun,35597,Lägenhet,Bostadsrätt,1.0,33.0,,0,,3,1926.0,3000,2044,1,30.7,3.5597
156,Gyllenborgsgatan 12,3500000,11243,Stockholms kommun,35597,Lägenhet,Bostadsrätt,1.5,40.0,,0,,4,1926.0,3000,2632,1,35.0,3.5597
157,Gyllenborgsgatan 14,3070000,11243,Stockholms kommun,35597,Lägenhet,Bostadsrätt,1.0,33.0,,0,,3,1926.0,3000,2044,1,30.7,3.5597
158,Drottningholmsvägen 72,3200000,11243,Stockholms kommun,35597,Lägenhet,Bostadsrätt,1.0,40.0,,0,,5,1927.0,3000,2538,1,32.0,3.5597
